trip duration,start time,stop time,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,user type,birth year,gender,start date,start time,end date,end time
00:04:51,2021-01-01 10:53:14.0970,2021-01-01 10:58:05.6200,3210,Pershing Field,40.742677141,-74.051788633,3212,Christ Hospital,40.734785818,-74.050443636,44920,Subscriber,1988,male,2021-01-01,10:53:14.097000,2021-01-01,10:58:05.620000
00:03:46,2021-01-01 11:00:06.4040,2021-01-01 11:03:53.2520,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.73089709786179,-74.06391263008119,41002,Subscriber,1967,male,2021-01-01,11:00:06.404000,2021-01-01,11:03:53.252000
00:09:57,2021-01-01 11:01:07.3940,2021-01-01 11:11:05.1770,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,46537,Subscriber,1961,male,2021-01-01,11:01:07.394000,2021-01-01,11:11:05.177000
00:08:12,2021-01-01 11:03:48.5550,2021-01-01 11:12:00.9900,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3280,Astor Place,40.71928220070703,-74.07126188278198,44685,Subscriber,1960,male,2021-01-01,11:03:48.555000,2021-01-01,11:12:00.990000
01:55:36,2021-01-01 11:11:01.0540,2021-01-01 13:06:37.5900,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42219,Subscriber,1975,female,2021-01-01,11:11:01.054000,2021-01-01,13:06:37.590000
00:06:06,2021-01-01 11:13:26.8110,2021-01-01 11:19:33.3210,3187,Warren St,40.721123600000006,-74.03805095,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,47029,Subscriber,1975,male,2021-01-01,11:13:26.811000,2021-01-01,11:19:33.321000
00:53:16,2021-01-01 11:21:12.6740,2021-01-01 12:14:29.0380,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42591,Customer,1990,female,2021-01-01,11:21:12.674000,2021-01-01,12:14:29.038000
00:09:54,2021-01-01 11:24:54.1750,2021-01-01 11:34:49.0470,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3203,Hamilton Park,40.727595965999996,-74.044247311,33630,Subscriber,1976,male,2021-01-01,11:24:54.175000,2021-01-01,11:34:49.047000
00:46:28,2021-01-01 11:28:19.8830,2021-01-01 12:14:48.2510,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42316,Customer,1986,male,2021-01-01,11:28:19.883000,2021-01-01,12:14:48.251000
00:52:38,2021-01-01 11:30:48.4770,2021-01-01 12:23:26.5470,3267,Morris Canal,40.7124188237569,-74.03852552175522,3184,Paulus Hook,40.7141454,-74.0335519,46141,Subscriber,1988,female,2021-01-01,11:30:48.477000,2021-01-01,12:23:26.547000
00:01:16,2021-01-01 11:34:33.9350,2021-01-01 11:35:50.6250,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,33887,Subscriber,2002,male,2021-01-01,11:34:33.935000,2021-01-01,11:35:50.625000
00:24:43,2021-01-01 11:38:03.1670,2021-01-01 12:02:46.9970,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3191,Union St,40.71821129999999,-74.08363940000001,33887,Subscriber,2002,male,2021-01-01,11:38:03.167000,2021-01-01,12:02:46.997000
00:10:34,2021-01-01 11:41:22.3000,2021-01-01 11:51:57.1530,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3267,Morris Canal,40.7124188237569,-74.03852552175522,44737,Subscriber,1985,female,2021-01-01,11:41:22.300000,2021-01-01,11:51:57.153000
00:12:20,2021-01-01 11:45:34.0090,2021-01-01 11:57:54.9880,3185,City Hall,40.717732500000004,-74.04384499999999,3184,Paulus Hook,40.7141454,-74.0335519,48857,Subscriber,1962,male,2021-01-01,11:45:34.009000,2021-01-01,11:57:54.988000
00:07:14,2021-01-01 11:50:29.9140,2021-01-01 11:57:44.8410,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3275,Columbus Drive,40.71835519823214,-74.03891444206238,47029,Subscriber,1994,male,2021-01-01,11:50:29.914000,2021-01-01,11:57:44.841000
00:08:12,2021-01-01 11:53:27.2470,2021-01-01 12:01:39.9300,3638,Washington St,40.7242941,-74.0354826,3267,Morris Canal,40.7124188237569,-74.03852552175522,44401,Subscriber,1969,female,2021-01-01,11:53:27.247000,2021-01-01,12:01:39.930000
00:21:11,2021-01-01 11:55:44.5650,2021-01-01 12:16:56.4000,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3205,JC Medical Center,40.71653978099194,-74.0496379137039,30303,Customer,1969,unknown,2021-01-01,11:55:44.565000,2021-01-01,12:16:56.400000
00:05:19,2021-01-01 11:58:27.1190,2021-01-01 12:03:46.5170,3195,Sip Ave,40.73089709786179,-74.06391263008119,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,41002,Subscriber,1967,male,2021-01-01,11:58:27.119000,2021-01-01,12:03:46.517000
